threshold,frauds_caught,frauds_missed,false_positives,missed_fraud_$,review_cost_$,total_cost_$
0.05,2124,21,379486,434.0,5692290.0,5692724.0
0.1,2068,77,295231,3376.0,4428465.0,4431841.0
0.15,2049,96,244117,7109.0,3661755.0,3668864.0
0.2,2041,104,204702,7612.0,3070530.0,3078142.0
0.25,2028,117,169895,8663.0,2548425.0,2557088.0
0.3,2009,136,142824,10836.0,2142360.0,2153196.0
0.35,1982,163,125670,13609.0,1885050.0,1898659.0
0.4,1916,229,115647,21098.0,1734705.0,1755803.0
0.45,1849,296,107957,29888.0,1619355.0,1649243.0
0.5,1782,363,100447,37134.0,1506705.0,1543839.0
0.55,1709,436,92100,52405.0,1381500.0,1433905.0
0.6,1614,531,82244,65705.0,1233660.0,1299365.0
0.65,1550,595,70908,83714.0,1063620.0,1147334.0
0.7,1491,654,57562,115845.0,863430.0,979275.0
0.75,1402,743,39868,155839.0,598020.0,753859.0
0.8,1335,810,20545,194309.0,308175.0,502484.0
0.85,1245,900,7485,228629.0,112275.0,340904.0
0.9,867,1278,3211,377506.0,48165.0,425671.0
0.95,747,1398,1192,482310.0,17880.0,500190.0
